,company,type,rating,age,highly_ratedFOR,critically_ratedFOR
59,NTT DATA,IT Services & Consulting ,4,36 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
60,ICICI Prudential Life Insurance,Insurance ,4.1,24 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
61,Bajaj Finance,NBFC ,4.1,37 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
62,Jana Small Finance Bank,Banking ,3.9,18 years old,,
63,Lupin,Pharma ,4.1,56 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
64,Indian Army,Defence & Aerospace ,4.7,129 years old,"Job Security, Company Culture, Work Satisfaction",
65,HCL Group,IT Services & Consulting ,3.7,48 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
66,Quess,BPO ,4,17 years old,Work Life Balance,Promotions / Appraisal
67,Tata Steel,Iron & Steel ,4.2,117 years old,"Job Security, Skill Development / Learning, Work Life Balance",
68,L&T Infotech,IT Services & Consulting ,3.8,28 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
69,Wells Fargo,Financial Services ,4.1,172 years old,"Job Security, Work Life Balance, Company Culture",
70,Zydus Lifesciences,Pharma ,4.1,72 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
71,Delhivery,Logistics ,4,13 years old,Skill Development / Learning,Promotions / Appraisal
72,Amazon Development Centre India,Internet ,4.2,,"Company Culture, Work Life Balance, Salary & Benefits",
73,L&T Construction,Engineering & Construction ,4.1,80 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
74,JPMorgan Chase & Co.,Financial Services ,4.1,56 years old,"Job Security, Company Culture, Skill Development / Learning",
75,Sun Pharmaceutical Industries,Pharma ,4.2,41 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
76,Hindustan Unilever,FMCG ,4.3,152 years old,"Skill Development / Learning, Job Security, Company Culture",
77,FIS,FinTech ,3.9,56 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
78,ITC,FMCG ,4,114 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
79,Udaan,1k-5k Employees ,4,8 years old,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal"
80,Hexaware Technologies,IT Services & Consulting ,3.7,34 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
81,IIFL Finance,NBFC ,4,29 years old,Salary & Benefits,
82,JSW Steel,Iron & Steel ,4,42 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
