,company,type,rating,age,highly_ratedFOR,critically_ratedFOR
921,TK Elevator,Industrial Machinery ,4.1,29 years old,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
922,Bosch Chassis Systems,Auto Components ,4.2,73 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal
923,Feedback Infrastructure Services,Engineering & Construction ,3.5,34 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
924,Karur Vysya Bank,Banking ,3.8,108 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
925,Pizza Hut,Hospitality ,3.9,66 years old,Skill Development / Learning,
926,TradeIndia (Infocom Network Private Limited),Internet ,3.4,28 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
927,Apotex Research,Pharma ,4.2,21 years old,"Work Life Balance, Company Culture, Job Security",
928,Secure Meters,Electronics Manufacturing ,4.1,37 years old,"Job Security, Company Culture, Work Life Balance",
929,Aditya Birla Finance,NBFC ,3.9,12 years old,"Salary & Benefits, Skill Development / Learning, Work Life Balance",
930,Rashmi Metaliks,Iron & Steel ,3.6,20 years old,"Company Culture, Job Security, Work Satisfaction",
931,Imperial Auto Industries,Auto Components ,3.8,55 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
932,Spandana Sphoorty Financial,NBFC ,3.8,26 years old,,
933,Colgate Palmolive,FMCG ,4.2,87 years old,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
934,Kirloskar Brothers,Industrial Machinery ,4.1,136 years old,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
935,Syngenta,Agriculture ,4.3,24 years old,"Company Culture, Work Life Balance, Skill Development / Learning",
936,Fidelity Investments,Financial Services ,4.3,81 years old,"Job Security, Company Culture, Work Life Balance",
937,H.G. Infra Engineering,Engineering & Construction ,4.4,21 years old,"Skill Development / Learning, Salary & Benefits, Company Culture",
938,Diageo,Beverage ,4.1,27 years old,"Work Life Balance, Salary & Benefits, Company Culture",Promotions / Appraisal
939,Kinara Capital,FinTech ,4.5,13 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
940,Genius Consultants,Recruitment ,3.8,31 years old,"Promotions / Appraisal, Salary & Benefits",
941,Sundaram Finance,NBFC ,4.2,70 years old,"Job Security, Company Culture, Work Life Balance",
942,Ahluwalia Contracts India,Engineering & Construction ,4.1,59 years old,Job Security,Promotions / Appraisal
943,Pricol,Auto Components ,4,49 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal
944,Tata Chemicals,Chemicals ,4.2,85 years old,"Job Security, Skill Development / Learning, Work Life Balance",
945,Dassault Systemes,Software Product ,4.1,43 years old,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
946,Nilkamal,Furniture & Furnishing ,3.9,43 years old,"Promotions / Appraisal, Salary & Benefits",
947,Shalby Hospitals,Healthcare ,4.6,30 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
948,PayPal,FinTech ,3.9,26 years old,"Salary & Benefits, Company Culture, Work Life Balance","Promotions / Appraisal, Job Security"
949,Orchids International School,Education & Training ,3.1,20 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
950,Sundaram Clayton,Auto Components ,4.1,62 years old,"Skill Development / Learning, Salary & Benefits, Company Culture",
951,VIP Industries,Retail ,4,53 years old,Promotions / Appraisal,
952,FLSmidth,Industrial Machinery ,3.7,142 years old,Work Life Balance,"Job Security, Promotions / Appraisal, Salary & Benefits"
953,Gmmco,Industrial Machinery ,4.2,57 years old,"Skill Development / Learning, Job Security, Work Satisfaction",Promotions / Appraisal
954,Incedo,IT Services & Consulting ,3.4,13 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
955,CALIBEHR,Recruitment ,4.1,45 years old,Skill Development / Learning,Promotions / Appraisal
956,Fusion Microfinance,NBFC ,4.1,14 years old,"Job Security, Company Culture, Work Life Balance",
957,SLK Global Services,BPO ,3.9,24 years old,"Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal"
958,Visionet Systems,IT Services & Consulting ,3.2,29 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
959,eClinicalWorks,Software Product ,3.9,25 years old,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
960,JTEKT,Auto Components ,4.2,18 years old,"Job Security, Company Culture, Skill Development / Learning",
961,Egis  India Consulting Engineers,Engineering & Construction ,4.1,19 years old,"Work Life Balance, Company Culture, Work Satisfaction",
962,Mahindra First Choice Wheels,Internet ,3.9,30 years old,Promotions / Appraisal,
963,Air India,Aviation ,4.1,94 years old,"Skill Development / Learning, Work Life Balance, Job Security",
964,AstraZeneca,Pharma ,4.2,25 years old,"Work Life Balance, Company Culture, Job Security",
965,MakeMyTrip,Internet ,3.7,24 years old,Promotions / Appraisal,
966,Perfetti Van Melle,Food Processing ,4.4,23 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
967,Next Education India,EdTech ,3.8,17 years old,"Job Security, Promotions / Appraisal",
968,Nirma,FMCG ,4.3,34 years old,"Job Security, Work Life Balance, Work Satisfaction",
969,KIMS Hospital,Healthcare ,4.1,12 years old,"Skill Development / Learning, Job Security, Work Life Balance",
970,LOREAL,Beauty & Personal Care ,4.1,33 years old,"Company Culture, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
971,VeeTechnologies,IT Services & Consulting ,3.8,24 years old,Job Security,Promotions / Appraisal
972,Hikal,Pharma ,4.1,36 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
973,Pacific BPO,BPO ,3.6,14 years old,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",
974,Caratlane Trading,Jewellery ,4.3,16 years old,"Company Culture, Skill Development / Learning, Job Security",
975,HFCL,Hardware & Networking ,4.2,37 years old,"Work Life Balance, Job Security, Skill Development / Learning",
976,MAHLE ANAND Filter Systems,Auto Components ,4.2,19 years old,"Job Security, Company Culture, Work Life Balance",
977,Teva Pharmaceuticals,Pharma ,4.2,123 years old,"Work Life Balance, Company Culture, Job Security",
978,Birla Corporation,Building Material ,4.2,105 years old,"Job Security, Work Life Balance, Company Culture",
979,INDO-MIM,Industrial Machinery ,4.3,26 years old,"Job Security, Work Life Balance, Skill Development / Learning",
980,Fluor Corporation,Forbes Global 2000 ,4.3,,"Work Life Balance, Company Culture, Salary & Benefits",Job Security
981,Vedanta Aluminium,Metals & Mining ,3.9,21 years old,"Salary & Benefits, Job Security","Work Satisfaction, Promotions / Appraisal, Work Life Balance"
982,C&S Electric,Electrical Equipment ,4,58 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
983,Capital Numbers Infotech,IT Services & Consulting ,4.7,12 years old,"Work Life Balance, Company Culture, Work Satisfaction",
984,Prodapt,IT Services & Consulting ,3.7,25 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
985,ICICI Prudential Mutual Fund,Financial Services ,3.8,31 years old,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
986,SitusAMC,Software Product ,3.3,,"Job Security, Promotions / Appraisal, Skill Development / Learning",
987,Webhelp,BPO ,3.8,24 years old,Job Security,"Promotions / Appraisal, Skill Development / Learning"
988,Patra Corporation,BPO ,3.8,19 years old,"Job Security, Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
989,Troikaa Pharmaceuticals,Pharma ,3.8,41 years old,Job Security,
990,Future Focus Infotech,IT Services & Consulting ,3.7,27 years old,"Promotions / Appraisal, Job Security, Company Culture",
991,Metropolis Healthcare,Healthcare ,4.1,44 years old,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
992,CADD Centre Training Services,Education & Training ,4.1,36 years old,"Skill Development / Learning, Company Culture, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
993,Pernod Ricard,Beverage ,3.9,49 years old,Salary & Benefits,Promotions / Appraisal
994,Zoho,Software Product ,4.3,28 years old,"Job Security, Company Culture, Work Life Balance",
995,Uber,Internet ,4.2,15 years old,"Company Culture, Work Life Balance, Salary & Benefits",
996,Better.com,Financial Services ,3,8 years old,Salary & Benefits,"Job Security, Skill Development / Learning, Promotions / Appraisal"
997,Orion Edutech,EdTech ,3.3,18 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
998,Air India Sats Airport Services,Aviation ,3.8,14 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
999,Mu Sigma,Analytics & KPO ,2.9,20 years old,"Work Life Balance, Salary & Benefits, Company Culture",
1000,Ford Business Solutions,IT Services & Consulting ,4.5,26 years old,"Company Culture, Work Life Balance, Work Satisfaction",
1001,TNQ Technologies,Printing & Publishing ,3.7,26 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
1002,Skill Lync,EdTech ,3.1,9 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
1003,Otis Elevator,Industrial Machinery ,4,171 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
1004,SBFC Finance,NBFC ,3.8,7 years old,Promotions / Appraisal,
1005,Thomas Cook,Travel & Tourism ,3.9,143 years old,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
1006,Wheels,Auto Components ,4.1,62 years old,"Job Security, Skill Development / Learning",
1007,C.R.I. Pumps,Industrial Machinery ,3.9,63 years old,Skill Development / Learning,Promotions / Appraisal
1008,Neel Metal Products,Metals & Mining ,4.1,41 years old,"Job Security, Skill Development / Learning, Work Satisfaction",
1009,Amara Raja Group,Auto Components ,4.2,39 years old,"Job Security, Skill Development / Learning, Company Culture",
1010,GVPR Engineers,Engineering & Construction ,4,27 years old,Work Life Balance,
1011,Schaeffler India,Auto Components ,4.2,78 years old,"Job Security, Work Life Balance, Company Culture",
1012,Indira IVF Hospital,Healthcare ,4,9 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
1013,Yashoda Hospitals,Healthcare ,3.9,35 years old,Skill Development / Learning,Promotions / Appraisal
1014,Quest Retail Private Limited,Retail ,4.5,19 years old,"Skill Development / Learning, Job Security, Company Culture",
1015,Toppr,EdTech ,3.5,11 years old,"Job Security, Promotions / Appraisal, Work Life Balance",
1016,Federal Bank,Banking ,4,93 years old,"Job Security, Salary & Benefits","Promotions / Appraisal, Work Satisfaction"
1017,Leadec India,Facility Management Services ,4,62 years old,Promotions / Appraisal,
1018,Centre for Development of Advanced Computing,IT Services & Consulting ,3.9,36 years old,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
1019,Huhtamaki,Packaging ,3.9,89 years old,Skill Development / Learning,Promotions / Appraisal
1020,Bank of India,Banking ,4,118 years old,"Job Security, Salary & Benefits",
1021,Test Yantra Software Solutions,IT Services & Consulting ,3.3,17 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
1022,Pramerica Life Insurance,Insurance ,3.9,10 years old,Work Life Balance,
1023,Alok Industries,Fashion & Textile ,3.8,38 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
1024,Aarvi Encon,Recruitment ,4.1,37 years old,"Company Culture, Work Satisfaction, Work Life Balance","Promotions / Appraisal, Job Security"
1025,Aviva Life Insurance India,Insurance ,3.6,328 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
1026,Suzuki Motorcycle,Automobile ,4.1,27 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
1027,Vertiv,IT Services & Consulting ,4,8 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
1028,Shriram General Insurance,Insurance ,3.7,16 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
1029,Willis Towers Watson,Financial Services ,4,8 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
1030,Meril,Medical Equipment ,3.9,18 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
1031,Everest Industries,Building Material ,4.1,90 years old,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
1032,Centum Electronics,Electronics Manufacturing ,3.9,30 years old,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
1033,Gharda Chemicals,Chemicals ,4.2,57 years old,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
1034,Napino Auto & Electronics,Auto Components ,4.1,27 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
1035,Grant Thornton,Accounting & Auditing ,3.7,100 years old,Job Security,Promotions / Appraisal
1036,DLF,Real Estate ,4,78 years old,Salary & Benefits,Promotions / Appraisal
1037,Dunzo,Internet ,3.5,10 years old,"Job Security, Promotions / Appraisal, Skill Development / Learning",
1038,Marks & Spencer,Retail ,4.1,140 years old,"Job Security, Company Culture, Work Life Balance",
1039,Godrej Agrovet,Agriculture ,4.1,,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
1040,Columbia Asia,Healthcare ,4.4,19 years old,"Company Culture, Skill Development / Learning, Job Security",
1041,Lakshmi Machine Works,Industrial Machinery ,4,62 years old,"Job Security, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal
1042,Digit Insurance,Insurance ,4,8 years old,"Job Security, Skill Development / Learning, Company Culture",
1043,Aspire Systems,IT Services & Consulting ,4,28 years old,"Job Security, Company Culture, Skill Development / Learning",
1044,Westside,Fashion & Textile ,4.1,26 years old,"Job Security, Skill Development / Learning, Company Culture",
1045,Rupeek,FinTech ,3.7,9 years old,"Job Security, Promotions / Appraisal",
1046,THE LEELA PALACES HOTELS & RESORTS,Hospitality ,4.1,41 years old,"Job Security, Skill Development / Learning",
1047,HT Media,Media & Entertainment ,3.5,100 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
1048,Zydus Wellness,FMCG ,3.9,36 years old,Salary & Benefits,
1049,Aparna Constructions and Estates,Real Estate ,4.2,28 years old,"Job Security, Skill Development / Learning, Work Life Balance",
1050,Sykes Business Services Of India,BPO ,3.5,47 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
1051,Parekh Integrated Services,Logistics ,4.1,43 years old,"Skill Development / Learning, Company Culture, Job Security",
1052,Sandhar Technologies,Auto Components ,3.8,37 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
1053,Bechtel,Engineering & Construction ,4.1,126 years old,"Salary & Benefits, Company Culture, Work Life Balance",Job Security
1054,Duck Creek Technologies,Software Product ,4.5,24 years old,"Work Life Balance, Company Culture, Work Satisfaction",
1055,Allianz Technology,IT Services & Consulting ,4.4,134 years old,"Job Security, Company Culture, Work Life Balance",
1056,Knorr-Bremse,Auto Components ,4.1,11 years old,"Work Life Balance, Job Security, Company Culture",
1057,Greaves Cotton,Auto Components ,4.1,165 years old,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
1058,Star Cement,Building Material ,4.1,23 years old,"Job Security, Work Life Balance",Promotions / Appraisal
1059,Kohler,Building Material ,3.9,151 years old,Salary & Benefits,"Promotions / Appraisal, Job Security"
1060,KEI Industries,Electrical Equipment ,4.2,56 years old,"Salary & Benefits, Work Life Balance, Promotions / Appraisal",
1061,Star Cement,Building Material ,4.1,23 years old,"Job Security, Work Life Balance",Promotions / Appraisal
1062,Vedanta Resources,Metals & Mining ,3.8,48 years old,Salary & Benefits,"Company Culture, Work Life Balance, Work Satisfaction"
1063,Panacea Biotec,Biotechnology ,4,40 years old,Work Life Balance,Promotions / Appraisal
1064,Godfrey Phillips India,FMCG ,4.1,91 years old,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
1065,National Health Mission,Healthcare ,3.7,19 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
1066,Samsung Engineering,Engineering & Construction ,4.2,18 years old,"Salary & Benefits, Work Life Balance, Company Culture",
1067,Timken,Industrial Machinery ,4,26 years old,Job Security,Promotions / Appraisal
1068,United Breweries,Beverage ,3.9,167 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
1069,Varroc Polymers,Auto Components ,3.9,29 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
1070,ffreedom app,Internet ,3.6,4 years old,Job Security,
1071,Asirvad Microfinance,NBFC ,4,17 years old,Salary & Benefits,
1072,Franklin Templeton Investments,1k-5k Employees ,4.2,77 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
1073,Medha Servo Drives,Electrical Equipment ,4.3,40 years old,"Job Security, Skill Development / Learning, Company Culture",
1074,Samsung Research,Consumer Electronics & Appliances ,3.4,55 years old,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
1075,Page Industries,Fashion & Textile ,4.3,30 years old,"Job Security, Company Culture, Salary & Benefits",
1076,Atlas Copco,Industrial Machinery ,4.3,151 years old,"Company Culture, Job Security, Work Life Balance",
1077,ValueMomentum,IT Services & Consulting ,3.3,24 years old,"Promotions / Appraisal, Work Satisfaction, Company Culture",
1078,LEAD School,EdTech ,3.3,11 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
1079,Defence Research & Development Organisation,Defence & Aerospace ,4.5,66 years old,"Work Life Balance, Skill Development / Learning, Company Culture",
1080,Astral Pipe,Building Material ,4.2,,"Job Security, Work Life Balance, Company Culture",
1081,SHYAM METALICS AND ENERGY,Iron & Steel ,3.7,29 years old,"Promotions / Appraisal, Company Culture, Work Satisfaction",
1082,Greenko Group,Power ,3.9,20 years old,Job Security,Promotions / Appraisal
1083,NielsenIQ,IT Services & Consulting ,3.9,101 years old,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
1084,Tata Consumer Products,FMCG ,4,62 years old,Promotions / Appraisal,
1085,Infra.Market,Building Material ,4.2,8 years old,"Salary & Benefits, Company Culture, Work Life Balance",
1086,Piramal Pharma,Pharma ,4,36 years old,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
1087,Bayer Crop Science Vegetable Seeds,,4.4,,"Skill Development / Learning, Company Culture, Work Life Balance",
1088,Indusind Marketing & Financial Services,Financial Services ,4.1,22 years old,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
1089,T-SYSTEMS ICT INDIA,IT Services & Consulting ,3.9,8 years old,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
1090,Qinecsa Solutions,,2.9,,"Promotions / Appraisal, Job Security, Company Culture",
1091,Aristo Pharmaceuticals,Pharma ,4.1,53 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
1092,NetAmbit,BPO ,3.5,24 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
1093,Precision Techserve,IT Services & Consulting ,3.8,25 years old,"Promotions / Appraisal, Salary & Benefits",
1094,Future Supply Chain Solutions,Logistics ,4.4,18 years old,"Company Culture, Work Satisfaction, Skill Development / Learning",
1095,Kalpataru Group,Real Estate ,3.9,55 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
1096,SFO Technologies,Electronics Manufacturing ,3.6,34 years old,"Promotions / Appraisal, Salary & Benefits, Company Culture",
1097,Adani Green Energy,Power ,4.2,9 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
1098,Acme Cleantech Solutions,Industrial Machinery ,4,21 years old,Salary & Benefits,"Job Security, Promotions / Appraisal"
1099,Financial Software & Systems,FinTech ,3.8,33 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
1100,Galfar,Engineering & Construction ,4.2,52 years old,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
1101,Mswipe Technologies,FinTech ,3.2,13 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
1102,Lumina Datamatics,IT Services & Consulting ,3.6,49 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
1103,Salesforce,Software Product ,4.1,25 years old,"Salary & Benefits, Company Culture, Work Life Balance",
1104,Rebel Foods,Internet ,3.8,12 years old,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
1105,Cult.fit,Fitness & Wellness ,3.8,8 years old,"Promotions / Appraisal, Job Security",
1106,Northern Trust,Financial Services ,3.8,,Promotions / Appraisal,
1107,Snapdeal,Internet ,3.9,14 years old,"Company Culture, Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal"
1108,AtkinsRealis,Engineering & Construction ,4.2,113 years old,"Company Culture, Work Life Balance, Salary & Benefits",
1109,Fareportal,Internet ,3.3,22 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
1110,Michelin,Auto Components ,3.9,15 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
1111,Innova Solutions,IT Services & Consulting ,3.7,18 years old,"Promotions / Appraisal, Job Security",
1112,Lowe's,Retail ,4.2,78 years old,"Work Life Balance, Company Culture, Job Security",
1113,Velocis Systems,IT Services & Consulting ,3.9,29 years old,"Work Life Balance, Job Security",
1114,City Union Bank,Banking ,3.4,120 years old,Job Security,"Work Life Balance, Company Culture, Work Satisfaction"
1115,Citco,Financial Services ,3.1,8 years old,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",
1116,General Mills,Food Processing ,4.2,96 years old,"Company Culture, Work Life Balance, Job Security",
1117,NBC Bearings,Auto Components ,3.9,78 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
1118,Quess IT Staffing Solutions,Conglomerate ,3.5,,"Promotions / Appraisal, Job Security, Salary & Benefits",
1119,CNH,Automobile ,4.3,11 years old,"Work Life Balance, Company Culture, Salary & Benefits",
1120,Nityo Infotech,IT Services & Consulting ,3.2,18 years old,"Promotions / Appraisal, Job Security, Company Culture",
1121,J B Chemicals And Pharmaceuticals,Pharma ,3.9,48 years old,Promotions / Appraisal,
1122,Athena BPO,BPO ,3.2,5 years old,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
1123,NetCracker,IT Services & Consulting ,3.1,31 years old,"Job Security, Work Satisfaction, Skill Development / Learning",
1124,Sanden Vikas,Auto Components ,3.9,42 years old,"Promotions / Appraisal, Salary & Benefits",
1125,Bayer,Pharma ,4.2,161 years old,"Job Security, Skill Development / Learning, Work Life Balance",
1126,Netscribes,Analytics & KPO ,2.9,24 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
1127,Karvy Stock Broking,1k-5k Employees ,3.6,34 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
1128,Royal Sundaram General Insurance,Insurance ,4,23 years old,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
1129,Musashi Auto Parts,Auto Components ,4,86 years old,Skill Development / Learning,Promotions / Appraisal
1130,GAMMON INDIA,Engineering & Construction ,3.9,102 years old,Job Security,"Salary & Benefits, Promotions / Appraisal"
1131,Prochant,BPO ,4.4,25 years old,"Skill Development / Learning, Company Culture, Work Satisfaction",
1132,ICCS,BPO ,3.3,19 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
1133,Aparajitha Corporate Services,Legal ,4,24 years old,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
1134,DuPont,Waste Management ,4.2,222 years old,"Company Culture, Work Life Balance, Job Security",
1135,Hitachi Payment Services,FinTech ,3.8,16 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
1136,Shilpa Medicare,Pharma ,3.6,37 years old,"Job Security, Company Culture, Salary & Benefits",
1137,Border Security Force,Law Enforcement & Security ,4.6,59 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
1138,Sandvik Asia,Industrial Machinery ,4.3,162 years old,"Salary & Benefits, Company Culture, Job Security",
1139,Collins Aerospace,Defence & Aerospace ,4,91 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
1140,OCS Group,Facility Management Services ,4,28 years old,Promotions / Appraisal,
1141,Jabil Circuit India,Electronics Manufacturing ,4,58 years old,"Skill Development / Learning, Company Culture",Promotions / Appraisal
1142,Knight Frank,Real Estate ,4.2,128 years old,"Company Culture, Work Life Balance, Work Satisfaction",
1143,Temenos,Software Product ,3.3,31 years old,"Company Culture, Promotions / Appraisal, Work Satisfaction",
1144,Artech Infosystems,1k-5k Employees ,3.6,32 years old,"Promotions / Appraisal, Job Security, Skill Development / Learning",
1145,Medusind Solutions,IT Services & Consulting ,3.8,22 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
1146,Merino Industries,Furniture & Furnishing ,3.9,56 years old,Promotions / Appraisal,
1147,Signify,Consumer Electronics & Appliances ,3.6,8 years old,"Promotions / Appraisal, Work Satisfaction, Company Culture",
1148,OLX,Internet ,3.8,18 years old,Salary & Benefits,"Job Security, Promotions / Appraisal"
1149,Tata Electronics,Semiconductors ,4,,Job Security,Promotions / Appraisal
1150,Navayuga Engineering Company,Engineering & Construction ,4.1,125 years old,"Skill Development / Learning, Job Security",
1151,Schlumberger,Oil & Gas ,4.1,98 years old,"Company Culture, Work Life Balance, Salary & Benefits",
1152,ESL Steel,Iron & Steel ,4.1,18 years old,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
1153,Micromax Informatics,Consumer Electronics & Appliances ,3.7,24 years old,"Promotions / Appraisal, Company Culture, Job Security",
1154,DAV Public School,Education & Training ,4.1,138 years old,"Skill Development / Learning, Salary & Benefits, Company Culture",
1155,Tata Starbucks,Hospitality ,4.3,53 years old,"Job Security, Company Culture, Skill Development / Learning",
1156,Genpact Headstrong Capital Markets,IT Services & Consulting ,3.8,26 years old,"Job Security, Work Life Balance",Promotions / Appraisal
1157,Adani Enterprises,10k-50k Employees ,3.9,36 years old,Job Security,Promotions / Appraisal
1158,Zepto,Internet ,3.7,3 years old,"Promotions / Appraisal, Job Security, Work Life Balance",
1159,HomeLane,Architecture & Interior Design ,3.5,10 years old,"Job Security, Promotions / Appraisal, Work Life Balance",
1160,Mastek,IT Services & Consulting ,3.6,42 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
1161,Porter,Internet ,4.2,10 years old,"Company Culture, Work Life Balance, Work Satisfaction",
1162,Arohan Financial Services,NBFC ,4,18 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
1163,Ageas Federal Life Insurance,Insurance ,3.7,16 years old,"Promotions / Appraisal, Work Satisfaction",
1164,Xebia,IT Services & Consulting ,3.5,23 years old,"Promotions / Appraisal, Job Security, Work Satisfaction",
1165,Volvo,Automobile ,4.1,97 years old,"Job Security, Work Life Balance, Company Culture",
1166,Quantiphi Analytics Solutions Private Limited,IT Services & Consulting ,3.1,11 years old,"Job Security, Work Life Balance, Work Satisfaction",
1167,The Akshaya Patra Foundation,Non-Profit ,4.5,24 years old,"Company Culture, Work Life Balance, Job Security",
1168,Reliance Power,Power ,4.2,29 years old,"Job Security, Work Life Balance, Work Satisfaction",
1169,BNP Paribas India Solutions,IT Services & Consulting ,4,176 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
1170,Eveready Industries,Consumer Electronics & Appliances ,4,90 years old,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
1171,GlaxoSmithKline Consumer Healthcare,Pharma ,4.5,24 years old,"Company Culture, Work Life Balance, Work Satisfaction",
1172,RAMTeCH Software Solutions,IT Services & Consulting ,3.9,32 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
1173,Guardian India,Insurance ,4.1,164 years old,"Job Security, Company Culture, Work Life Balance",
1174,Rungta Mines,Metals & Mining ,4.1,62 years old,"Job Security, Work Life Balance, Salary & Benefits",
1175,AuthBridge Research Services,IT Services & Consulting ,3.5,19 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
1176,CRB Tech Solution,EdTech ,4.2,23 years old,"Skill Development / Learning, Company Culture, Job Security",
1177,Amul Dairy,Food Processing ,4.2,76 years old,"Job Security, Work Life Balance, Company Culture",
1178,Dhani Services,201-500 Employees ,3.5,7 years old,"Job Security, Promotions / Appraisal, Company Culture",
1179,First Advantage,Recruitment ,3.8,21 years old,"Company Culture, Work Life Balance",Promotions / Appraisal
1180,First Advantage,Recruitment ,3.8,21 years old,"Company Culture, Work Life Balance",Promotions / Appraisal
